uid,netzbetreiber,kategorieName,gemeindeNummer,gemeindeName,kanton,total,energie,abgaben,netznutzung,netzzuschlag,messwesen
CHE-105.981.944,AEW Energie AG,C1,4172,Münchwilen (AG),AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4253,Magden,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4106,Mönthal,AG,26.555,11.4,0.65,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4068,Hägglingen,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4258,Rheinfelden,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4261,Wallbach,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4175,Oeschgen,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4191,Ammerswil,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4163,Frick,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4307,Full-Reuenthal,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4196,Fahrwangen,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4193,Brunegg,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4197,Hallwil,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4256,Obermumpf,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4254,Möhlin,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4041,Stetten (AG),AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4023,Bergdietikon,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4146,Unterkulm,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4140,Oberkulm,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4078,Uezwil,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4037,Oberrohrdorf,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4255,Mumpf,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4313,Leuggern,AG,26.594,11.4,0.689,11.53,2.3,54.0
CHE-105.981.944,AEW Energie AG,C1,4091,Auenstein,AG,26.594,11.4,0.689,11.53,2.3,54.0
