netzbetreiber,gemeindeNummer,gemeindeName,kanton,total
Elektrizitätswerke des Kantons Zürich (EKZ),1,Aeugst am Albis,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),2,Affoltern am Albis,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),3,Bonstetten,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),4,Hausen am Albis,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),5,Hedingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),6,Kappel am Albis,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),7,Knonau,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),8,Maschwanden,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),9,Mettmenstetten,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),10,Obfelden,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),11,Ottenbach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),12,Rifferswil,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),13,Stallikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),14,Wettswil am Albis,ZH,24.136
"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",22,Benken (ZH),ZH,30.313
Elektrizitätswerke des Kantons Zürich (EKZ),23,Berg am Irchel,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),24,Buch am Irchel,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),25,Dachsen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),26,Dorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),27,Feuerthalen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),28,Flaach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),29,Flurlingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),31,Henggart,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),33,Kleinandelfingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),34,Laufen-Uhwiesen,ZH,24.136
Elektrizitätsgenossenschaft Marthalen,35,Marthalen,ZH,31.8
Elektrizitätswerke des Kantons Zürich (EKZ),37,Ossingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),38,Rheinau,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),39,Thalheim an der Thur,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),40,Trüllikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),41,Truttikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),43,Volken,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),51,Bachenbülach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),52,Bassersdorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),53,Bülach,ZH,24.136
"Politische Gemeinde Dietlikon, Gemeindewerke",54,Dietlikon,ZH,23.516
Elektrizitätswerke des Kantons Zürich (EKZ),55,Eglisau,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),56,Embrach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),57,Freienstein-Teufen,ZH,24.136
Genossenschaft Licht- und Kraftwerke Glattfelden,58,Glattfelden,ZH,33.583
Elektrizitätswerke des Kantons Zürich (EKZ),59,Hochfelden,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),60,Höri,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),61,Hüntwangen,ZH,24.136
Industrielle Betriebe Kloten AG,62,Kloten,ZH,25.014
Elektrizitätswerke des Kantons Zürich (EKZ),63,Lufingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),64,Nürensdorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),65,Oberembrach,ZH,24.136
Energie Opfikon AG,66,Opfikon,ZH,26.393
Elektrizitätswerke des Kantons Zürich (EKZ),67,Rafz,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),68,Rorbas,ZH,24.136
die werke versorgung wallisellen ag,69,Wallisellen,ZH,29.507
Elektrizitätswerke des Kantons Zürich (EKZ),70,Wasterkingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),71,Wil (ZH),ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),72,Winkel,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),81,Bachs,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),82,Boppelsen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),83,Buchs (ZH),ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),84,Dällikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),85,Dänikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),86,Dielsdorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),87,Hüttikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),88,Neerach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),89,Niederglatt,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),90,Niederhasli,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),91,Niederweningen,ZH,24.136
Elektrizitätswerk Oberglatt,92,Oberglatt,ZH,27.539
Elektrizitätswerke des Kantons Zürich (EKZ),93,Oberweningen,ZH,24.136
Elektrizitätsgenossenschaft Otelfingen,94,Otelfingen,ZH,33.497
Elektrizitätswerke des Kantons Zürich (EKZ),95,Regensberg,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),96,Regensdorf,ZH,24.136
Elektrizitätswerk Rümlang Genossenschaft,97,Rümlang,ZH,27.439
Elektrizitätswerke des Kantons Zürich (EKZ),98,Schleinikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),99,Schöfflisdorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),100,Stadel,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),101,Steinmaur,ZH,24.136
EGW Weiach Elektrizitätsgenossenschaft,102,Weiach,ZH,31.134
Elektrizitätswerke des Kantons Zürich (EKZ),111,Bäretswil,ZH,24.136
Elektrizitätsgenossenschaft Bubikon,112,Bubikon,ZH,25.238
Gemeindewerke Rüti (ZH),113,Dürnten,ZH,29.697
Elektrizitätswerke des Kantons Zürich (EKZ),114,Fischenthal,ZH,24.136
Energie Gossau AG,115,Gossau (ZH),ZH,26.877
Energie Grüningen AG,116,Grüningen,ZH,29.264
Elektrizitätswerke des Kantons Zürich (EKZ),117,Hinwil,ZH,24.136
Gemeindewerke Rüti (ZH),118,Rüti (ZH),ZH,30.603
Elektrizitätswerke des Kantons Zürich (EKZ),119,Seegräben,ZH,24.136
EW WALD AG,120,Wald (ZH),ZH,25.163
Stadtwerke Wetzikon,121,Wetzikon (ZH),ZH,30.144
Elektrizitätswerke des Kantons Zürich (EKZ),131,Adliswil,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),135,Kilchberg (ZH),ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),136,Langnau am Albis,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),137,Oberrieden,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),138,Richterswil,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),139,Rüschlikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),141,Thalwil,ZH,24.136
Werke am Zürichsee AG (Erlenbach),151,Erlenbach (ZH),ZH,27.847
"Gemeinde Herrliberg, Elektrizitätsversorgung",152,Herrliberg,ZH,29.363
Elektrizitätswerke des Kantons Zürich (EKZ),153,Hombrechtikon,ZH,24.136
Werke am Zürichsee AG (Küsnacht),154,Küsnacht (ZH),ZH,27.603
"Gemeinde Männedorf, Energieversorung",155,Männedorf,ZH,25.029
Infrastruktur Zürichsee AG,156,Meilen,ZH,26.283
Elektrizitätswerke des Kantons Zürich (EKZ),157,Oetwil am See,ZH,24.136
"Energie und Wasser, Gemeindewerke Stäfa",158,Stäfa,ZH,27.38
Infrastruktur Zürichsee AG,159,Uetikon am See,ZH,26.233
Elektrizitätswerke des Kantons Zürich (EKZ),160,Zumikon,ZH,24.136
Werke am Zürichsee AG (Zollikon),161,Zollikon,ZH,27.303
"Gemeinde Fehraltorf, Elektrizität",172,Fehraltorf,ZH,25.58
Elektrizitätswerke des Kantons Zürich (EKZ),173,Hittnau,ZH,24.136
EW Lindau AG,176,Lindau,ZH,27.211
Gemeindewerke Pfäffikon ZH,177,Pfäffikon,ZH,26.531
Elektrizitätswerke des Kantons Zürich (EKZ),178,Russikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),180,Weisslingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),181,Wila,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),182,Wildberg,ZH,24.136
Glattwerk AG,191,Dübendorf,ZH,26.27
Elektrizitätswerke des Kantons Zürich (EKZ),192,Egg,ZH,24.136
"Politische Gemeinde Fällanden, Wasser, Abwasser, Strom",193,Fällanden,ZH,25.934
Elektrizitätswerke des Kantons Zürich (EKZ),194,Greifensee,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),195,Maur,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),196,Mönchaltorf,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),197,Schwerzenbach,ZH,24.136
ENERGIE USTER AG,198,Uster,ZH,28.55
Elektrizitätswerke des Kantons Zürich (EKZ),199,Volketswil,ZH,24.136
"Werke Wangen-Brüttisellen, Elektrizitätswerk",200,Wangen-Brüttisellen,ZH,29.027
Elektrizitätswerke des Kantons Zürich (EKZ),211,Altikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),213,Brütten,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),214,Dägerlen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),215,Dättlikon,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),216,Dinhard,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),218,Ellikon an der Thur,ZH,24.136
Genossenschaft Elektrizitätswerk Räterschen EWR,219,Elsau,ZH,30.297
Elektrizitätswerke des Kantons Zürich (EKZ),220,Hagenbuch,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),221,Hettlingen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),223,Neftenbach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),224,Pfungen,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),225,Rickenbach (ZH),ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),226,Schlatt (ZH),ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),227,Seuzach,ZH,24.136
Elektrizitätswerke des Kantons Zürich (EKZ),228,Turbenthal,ZH,24.136
Stadtwerk Winterthur,230,Winterthur,ZH,30.482
