gemeinde_nr,gemeinde_name,kanton_name,pvout_kwh_kwp_year
131,Adliswil,Zürich,1155.7913912259614
3714,Rheinwald,Graubünden,1273.649336283186
5722,Grens,Vaud,1292.0109049479167
6730,Val Terbi,Jura,1131.4242484177216
4123,Windisch,Aargau,1164.307421875
6719,Pleigne,Jura,1180.8179183467741
1707,Risch,Zug,1160.947265625
4183,Zeihen,Aargau,1164.5013521634614
5692,Vucherens,Vaud,1314.7173665364583
5413,Roche (VD),Vaud,1264.2963423295455
2583,Schönenwerd,Solothurn,1151.6941731770833
5816,Corcelles-près-Payerne,Vaud,1275.873046875
4141,Reinach (AG),Aargau,1194.801025390625
5821,Missy,Vaud,1273.9189453125
2293,Düdingen,Fribourg,1274.3640046296296
5792,Montpreveyres,Vaud,1341.3021763392858
1213,Schattdorf,Uri,1001.5533405172414
4571,Gachnang,Thurgau,1174.1285615808824
5828,Treytorrens (Payerne),Vaud,1287.2140625
5708,Chavannes-des-Bois,Vaud,1303.39453125
4421,Horn,Thurgau,1146.03271484375
602,Arni (BE),Bern,1265.5506727430557
2143,Morlon,Fribourg,1275.3311360677083
5437,Saubraz,Vaud,1303.2849609375
4801,Berlingen,Thurgau,1139.726171875
616,Münsingen,Bern,1266.5409375
3572,Falera,Graubünden,1349.58056640625
2140,Marsens,Fribourg,1302.4031808035713
5486,L'Isle,Vaud,1261.3343211206898
4791,Wuppenau,Thurgau,1186.7843191964287
424,Wynigen,Bern,1219.5698138297873
4306,Fisibach,Aargau,1168.7336647727273
2307,Tentlingen,Fribourg,1272.6876395089287
249,Unterengstringen,Zürich,1185.6622721354167
553,Wiggiswil,Bern,1254.9990234375
6253,Crans-Montana,Valais,1476.6875
1065,Root,Luzern,1156.7061631944443
4209,Seon,Aargau,1179.189453125
62,Kloten,Zürich,1187.8145680147059
3513,Lantsch/Lenz,Graubünden,1300.3734375
4193,Brunegg,Aargau,1172.26953125
2861,Sissach,Basel-Landschaft,1183.364501953125
4191,Ammerswil,Aargau,1173.3046875
6754,Le Noirmont,Jura,1172.9574908088234
5714,Crassier,Vaud,1284.49267578125
6810,La Baroche,Jura,1171.8505497685185
6630,Meyrin,Genève,1303.097900390625
4120,Veltheim (AG),Aargau,1163.394140625
5930,Suscévaz,Vaud,1243.467494419643
4305,Endingen,Aargau,1176.8686079545455
1366,Morschach,Schwyz,1103.4298930921052
4006,Gränichen,Aargau,1168.5984644396551
5582,Cheseaux-sur-Lausanne,Vaud,1337.864990234375
437,Mont-Tramelan,Bern,1201.71826171875
2843,Buckten,Basel-Landschaft,1153.45947265625
743,Nidau,Bern,1203.4072265625
4284,Staffelbach,Aargau,1182.781032986111
2546,Grenchen,Solothurn,1206.4450520833334
2555,Rüttenen,Solothurn,1201.2830729166667
5193,Magliaso,Ticino,1370.05224609375
3342,Eschenbach (SG),St. Gallen,1198.2920545212767
230,Winterthur,Zürich,1173.613782051282
5512,Bercher,Vaud,1303.029541015625
2335,Saint-Martin (FR),Fribourg,1339.0279181985295
4656,Güttingen,Thurgau,1168.4607979910713
3312,Benken (SG),St. Gallen,1179.148726851852
5855,Dully,Vaud,1290.884765625
5604,Forel (Lavaux),Vaud,1348.3431396484375
2890,Liedertswil,Basel-Landschaft,1112.8251953125
5396,Terre di Pedemonte,Ticino,1330.9361979166667
667,Laupen,Bern,1264.3390066964287
2131,Echarlens,Fribourg,1287.06796875
5148,Bedano,Ticino,1346.31201171875
2615,Erschwil,Solothurn,1094.7104867788462
2087,Mézières (FR),Fribourg,1309.4213169642858
2939,Schaffhausen,Schaffhausen,1179.8596875
3295,Quarten,St. Gallen,1072.4419815891472
1507,Hergiswil (NW),Nidwalden,994.65576171875
663,Frauenkappelen,Bern,1256.1192708333333
3311,Amden,St. Gallen,1179.5906635802469
4164,Gansingen,Aargau,1173.54833984375
5493,Orny,Vaud,1264.02060546875
4031,Künten,Aargau,1179.027126736111
4138,Leutwil,Aargau,1185.0537923177083
